id,name,serving_size,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,source_dataset,source_file,source_group
cream-cheese,cream cheese,dataset serving,51,0.9,0.8,5,0,0.5,0.016,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
neufchatel-cheese,neufchatel cheese,dataset serving,215,7.8,3.1,19.4,0,2.7,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
requeijao-cremoso-light-catupiry,requeijao cremoso light catupiry,dataset serving,49,0.8,0.9,3.6,0.1,3.4,0,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
ricotta-cheese,ricotta cheese,dataset serving,30,1.5,1.5,2,0,0.091,0.017,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
cream-cheese-low-fat,cream cheese low fat,dataset serving,30,1.2,1.2,2.3,0,0.9,0.046,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
cream-cheese-fat-free,cream cheese fat free,dataset serving,19,2.8,1.4,0.2,0,1,0.1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
gruyere-cheese,gruyere cheese,dataset serving,116,8.3,0.1,9.1,0,0.1,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
cheddar-cheese,cheddar cheese,dataset serving,113,6.4,0.9,9.3,0,0.1,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
parmesan-cheese,parmesan cheese,dataset serving,71,6.4,0.6,4.5,0,0.046,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
romano-cheese,romano cheese,dataset serving,19,1.6,0.2,1.3,0,0.088,0.008,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
parmesan-cheese-grated,parmesan cheese grated,dataset serving,21,1.4,0.7,1.4,0,0.075,0.043,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
port-salut-cheese,port salut cheese,dataset serving,465,31.4,0.8,37.2,0,0.8,0.7,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
swiss-cheese,swiss cheese,dataset serving,98,6.7,0.4,7.7,0,0,0.057,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
goat-cheese-hard,goat cheese hard,dataset serving,128,8.6,0.6,10.1,0,0.6,0.076,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
gouda-cheese,gouda cheese,dataset serving,100,7,0.6,7.7,0,0.6,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
pepper-jack-cheese-lucerne,pepper jack cheese lucerne,dataset serving,75,5,0,6,2.5,0,0,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
caraway-cheese,caraway cheese,dataset serving,106,7.1,0.9,8.3,0,0,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
gjetost-cheese,gjetost cheese,dataset serving,1058,21.9,96.8,67,0,0,1.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
tilsit-cheese,tilsit cheese,dataset serving,136,9.8,0.8,10.4,0,0,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
goat-cheese,goat cheese,dataset serving,103,6.1,0.009,8.4,0,0.031,0.1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
brick-cheese,brick cheese,dataset serving,111,7,0.8,8.9,0,0.2,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
asadero-cheese,asadero cheese,dataset serving,402,25.5,3.2,31.9,0,3.2,0.7,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
camembert-cheese,camembert cheese,dataset serving,90,5.9,0.1,7.3,0,0.1,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
provolone-cheese-reduced-fat,provolone cheese reduced fat,dataset serving,310,27.9,4,19.9,0,0.6,1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
roquefort-cheese,roquefort cheese,dataset serving,314,18.3,1.7,26,0,0,1.5,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
queso-blanco-cheese,queso blanco cheese,dataset serving,366,24,3,28.7,0,2.1,0.8,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
queso-seco-cheese,queso seco cheese,dataset serving,315,23.8,2,23.6,0,0.5,1.8,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
goat-cheese-soft,goat cheese soft,dataset serving,75,5.2,0,6,0,0.3,0.1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
mozzarella-cheese,mozzarella cheese,dataset serving,90,6.7,0.7,6.6,0,0,0.1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
chihuahua-cheese,chihuahua cheese,dataset serving,494,28.5,7.3,39.2,0,7.3,0.8,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
limburger-cheese,limburger cheese,dataset serving,98,6,0.1,8.2,0,0.1,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
muenster-cheese,muenster cheese,dataset serving,486,30.9,1.5,39.7,0,1.5,0.8,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
queso-fresco-cheese,queso fresco cheese,dataset serving,365,22.1,3.6,29.1,0,2.8,0.9,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
brie-cheese,brie cheese,dataset serving,100,6.2,0.1,8.3,0,0.1,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
pimento-cheese,pimento cheese,dataset serving,525,31,2.4,43.7,0.1,0.9,2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
mexican-cheese,mexican cheese,dataset serving,316,27.7,3.8,21.7,0,0.6,0.9,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
feta-cheese,feta cheese,dataset serving,80,4.3,1.2,6.4,0,0,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
mozzarella-cheese-fat-free,mozzarella cheese fat free,dataset serving,159,35.8,4,0,2,1.7,0.8,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
provolone-cheese,provolone cheese,dataset serving,463,33.8,2.8,35.1,0,0.7,1.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
anejo-cheese,anejo cheese,dataset serving,492,28.3,6.1,39.6,0,6.1,1.5,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
honey,honey,dataset serving,64,0.08,17.3,0,0.025,17.2,0.011,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
apple-butter,apple butter,dataset serving,35,0.045,8.5,0.063,0.3,7.1,0.003,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
fruit-jam,fruit jam,dataset serving,56,0,13.8,0.095,0.2,9.7,0.052,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
chocolate-hazelnut-spread,chocolate hazelnut spread,dataset serving,100,1,11.5,5.5,1,10,0.099,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
peanut-butter,peanut butter,dataset serving,88,3.3,3.6,7.4,0.9,1,0.085,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
peanut-spread,peanut spread,dataset serving,101,3.8,2.2,8.5,1.2,0.5,0.028,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
chicken-spread,chicken spread,dataset serving,88,10.1,2.3,9.8,0.2,0.3,0.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
cheese-spread,cheese spread,dataset serving,708,17,8.4,68.6,0,8.4,1.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
tahini,tahini,dataset serving,86,2.7,3.9,7.2,1.4,0,0.098,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
orange-marmalade,orange marmalade,dataset serving,49,0.014,13.3,0,0.1,12,0.016,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
american-cheese-spread,american cheese spread,dataset serving,46,2.6,1.4,3.4,0,1.2,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
apricot-jam,apricot jam,dataset serving,48,0.1,12.9,0.01,0.044,8.7,0.004,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
chunky-peanut-butter,chunky peanut butter,dataset serving,94,3.8,3.5,8,1.3,1.3,0.03,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
ham-and-cheese-spread,ham and cheese spread,dataset serving,37,2.4,0.3,2.8,0,0,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
chicken-and-rice-casserole-homade,chicken and rice casserole homade,dataset serving,27,2,2.4,1,0.3,0,0,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
picnic-loaf,picnic loaf,dataset serving,65,4.2,1.3,4.7,0,0,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
corn-tamale,corn tamale,dataset serving,309,5.8,44.3,12,5.3,12.3,0.5,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
baked-potato-with-cheese-sauce-bacon,baked potato with cheese sauce bacon,dataset serving,451,18.4,44.4,25.9,0,0,1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
chinese-egg-roll,chinese egg roll,dataset serving,223,7.4,24.3,10.6,2.3,0,0.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
butter-croissant,butter croissant,dataset serving,231,4.7,26.1,12,1.5,6.4,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
enchilada-with-cheese-beef,enchilada with cheese beef,dataset serving,323,11.9,30.5,17.6,0,0,1.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
corned-beef-hash-with-potatoes,corned beef hash with potatoes,dataset serving,387,20.6,21.9,24.2,2.6,0.8,1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
biscuit-with-egg-cheese-bacon,biscuit with egg cheese bacon,dataset serving,436,17.4,35.4,25.3,0.3,2.5,1.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
bagel-with-ham-egg-cheese,bagel with ham egg cheese,dataset serving,483,26.7,52.4,18.5,0.4,7,1.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
quesadilla-with-chicken,quesadilla with chicken,dataset serving,529,27.1,43.3,27.5,3.1,3.4,1.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
corn-rice,corn rice,dataset serving,110,1.8,25.2,0.3,0.4,3,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
kung-pao-chicken,kung pao chicken,dataset serving,779,59,41.5,42.2,9.1,18.3,2.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
beef-empanada,beef empanada,dataset serving,298,10.1,27.8,16.3,1.8,1.6,0.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
frijoles-with-cheese,frijoles with cheese,dataset serving,225,11.4,28.7,7.8,0,0,0.9,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
burrito-with-beef,burrito with beef,dataset serving,285,9.1,43.9,8.1,4.4,4.1,0.5,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
crispy-chicken-sandwich,crispy chicken sandwich,dataset serving,350,14.8,33.2,17.6,0,3.9,0.7,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
enchilada-with-cheese,enchilada with cheese,dataset serving,374,15.4,21.2,25.3,2.6,3.6,0.7,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
pork-egg-roll,pork egg roll,dataset serving,189,8.4,25.1,6.1,1.8,4.5,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
corn-on-the-cob-with-butter,corn on the cob with butter,dataset serving,155,4.5,31.9,3.4,0,0,0.056,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
pancakes-with-butter-syrup,pancakes with butter syrup,dataset serving,260,4.1,45.4,7,0,0,0.6,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
burrito-with-beans,burrito with beans,dataset serving,224,7,35.7,6.7,0,0,0.5,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
scrambled-eggs,scrambled eggs,dataset serving,100,6.5,1,7.6,0,0.8,0.1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
baked-potato-with-sour-cream,baked potato with sour cream,dataset serving,393,6.7,50,22.3,0,0,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
turkey-and-gravy,turkey and gravy,dataset serving,161,14.1,11.1,6.3,0,0,1.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
chicken-egg-roll,chicken egg roll,dataset serving,158,8.4,22.8,3.6,1.9,4.5,0.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
vegetable-egg-roll,vegetable egg roll,dataset serving,153,5.2,25,3.6,2.2,5.3,0.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
ham-cheese-roll,ham cheese roll,dataset serving,67,3.8,1.1,5.2,0,0,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
biscuit-with-ham,biscuit with ham,dataset serving,386,13.4,43.8,18.4,0.8,2.2,1.1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
lemon-chicken,lemon chicken,dataset serving,1440,68.6,122,74.9,7,55.2,1.5,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
hummus,hummus,dataset serving,435,12,49.5,21.1,9.8,0.7,0.6,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
croissant-with-egg-cheese,croissant with egg cheese,dataset serving,368,12.8,24.3,24.7,0,0,0.6,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
enchirito-with-cheese-beef-beans,enchirito with cheese beef beans,dataset serving,344,17.9,33.8,16.1,0,0,1.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
sweet-sour-pork,sweet sour pork,dataset serving,38,1.2,3.3,2.2,0.1,1.4,0.003,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
crab-cake,crab cake,dataset serving,160,11.3,5.1,10.4,0.2,0,0.5,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
egg-dinner-roll,egg dinner roll,dataset serving,107,3.3,18.2,2.2,1.3,1.5,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
english-muffin-with-egg-cheese-sausage,english muffin with egg cheese sausage,dataset serving,472,22.1,28.8,29.9,0.3,2.5,0.8,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
buttermilk-pancakes,buttermilk pancakes,dataset serving,86,2.6,10.9,3.5,0,0,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
omelet,omelet,dataset serving,94,6.4,0.4,7.1,0,0.2,0.013,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
taco-with-chicken-cheese-lettuce,taco with chicken cheese lettuce,dataset serving,185,13,19.3,6.2,1.2,1.3,0.6,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
spinach-souffle,spinach souffle,dataset serving,230,10.7,8,17.6,1,2.5,0.8,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
english-muffin-with-cheese-sausage,english muffin with cheese sausage,dataset serving,365,14.3,27.3,22.3,0.5,2.1,0.7,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
potato-gratin,potato gratin,dataset serving,328,12.4,27.6,18.6,4.4,0,1.1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
biscuit-with-egg,biscuit with egg,dataset serving,436,17.4,35.4,25.3,0.3,2.5,1.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
french-fries-deep-fried,french fries deep fried,dataset serving,222,2.4,29.4,10.5,2.7,0.2,0.1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
sweet-sour-chicken,sweet sour chicken,dataset serving,46,1.8,4.4,2.3,0.2,2.1,0.043,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
burrito-with-beans-beef,burrito with beans beef,dataset serving,460,27.8,47,18,7.2,5.3,1.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
nachos-with-cinnamon-sugar,nachos with cinnamon sugar,dataset serving,592,7.2,63.4,36,0,0,0.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
arroz-con-grandules,arroz con grandules,dataset serving,209,4,35.4,5.7,1.6,0,0.7,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
chili-con-carne,chili con carne,dataset serving,271,14.7,33.1,8.8,8.3,4.7,1.1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
arroz-con-abichuelas,arroz con abichuelas,dataset serving,223,6.2,37.3,5.4,4.1,0.2,0.6,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
biscuit-with-sausage,biscuit with sausage,dataset serving,412,10.7,33.3,27.1,0.4,1.8,0.9,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
vegetarian-stew,vegetarian stew,dataset serving,304,42,17.3,7.4,2.7,3.1,1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
chicken-sandwich-with-cheese,chicken sandwich with cheese,dataset serving,632,29.4,41.6,38.8,0,0,1.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
biscuit-with-egg-steak,biscuit with egg steak,dataset serving,410,17.9,21.3,28.4,0,0,0.9,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
taco-salad,taco salad,dataset serving,212,10,17.9,11.2,0,0,0.6,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
succotash,succotash,dataset serving,213,9.7,46.8,1.5,0,0,0.5,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
nachos-with-cheese-jalapeno-peppers,nachos with cheese jalapeno peppers,dataset serving,608,16.8,60.1,34.1,0,0,1.7,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
biscuit-with-egg-ham,biscuit with egg ham,dataset serving,442,20.4,31.4,27,0.8,4.2,1.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
ladyfingers,ladyfingers,dataset serving,103,3,16.9,2.6,0.3,7.2,0.016,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
mozzarella-steak-fried,mozzarella steak fried,dataset serving,102,4.6,7.7,5.9,0.6,0.7,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
tamale-navajo,tamale navajo,dataset serving,285,11.7,33.7,11.4,5.8,1.8,0.8,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
blueberry-pancakes,blueberry pancakes,dataset serving,84,2.3,11,3.5,0,0,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
chimichanga-with-beef-cheese,chimichanga with beef cheese,dataset serving,443,20.1,39.3,23.4,0,0,1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
egg-cheese-sandwich,egg cheese sandwich,dataset serving,340,15.6,25.9,19.4,0,0,0.8,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
biscuit-with-egg-bacon,biscuit with egg bacon,dataset serving,458,17,28.6,31.1,0.8,3.3,1.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
pupusas-con-queso,pupusas con queso,dataset serving,300,13.7,26.2,15.5,3.4,1.4,0.5,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
apple-croissant,apple croissant,dataset serving,145,4.2,21.1,5,1.4,0,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
refried-red-beans,refried red beans,dataset serving,336,11.7,36,16.1,11,0,0.9,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
tostada-with-guacamole,tostada with guacamole,dataset serving,180,6.2,16,11.6,0,0,0.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
chicken-sandwich,chicken sandwich,dataset serving,468,30.4,39.1,20.9,2.6,6.8,1.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
fried-rice,fried rice,dataset serving,228,6.5,43.4,3.2,1.5,0.6,0.6,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
pupusas-del-cerdo,pupusas del cerdo,dataset serving,283,14,28.1,12.7,3.2,1.8,0.5,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
turkey-pot-pie,turkey pot pie,dataset serving,699,25.8,70.3,34.9,4.4,0,1.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
cheese-croissant,cheese croissant,dataset serving,331,7.4,37.6,16.7,2.1,9.1,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
chimichanga-with-beef,chimichanga with beef,dataset serving,425,19.6,42.8,19.7,0,0,0.9,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
french-toast-with-butter,french toast with butter,dataset serving,178,5.2,18,9.4,0,0,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
ham-egg-cheese-sandwich,ham egg cheese sandwich,dataset serving,347,19.2,30.9,16.3,0,0,1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
english-muffin-with-butter,english muffin with butter,dataset serving,189,4.9,30.4,5.8,0,0,0.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
savoury-noodle-one-pan-dinner-tandaco,savoury noodle one pan dinner tandaco,dataset serving,172,0,5.5,1.2,0,0,0,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
ham-cheese-sandwich,ham cheese sandwich,dataset serving,352,20.7,33.3,15.5,0,0,0.8,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
sweet-gefilte-fish,sweet gefilte fish,dataset serving,35,3.8,3.1,0.7,0,0,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
poached-egg,poached egg,dataset serving,72,6.3,0.4,4.7,0,0.2,0.1,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
tostada-with-beef-cheese,tostada with beef cheese,dataset serving,315,19,22.8,16.3,0,0,0.9,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
tostada-with-beans-cheese,tostada with beans cheese,dataset serving,223,9.6,26.5,9.9,0,0,0.5,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
pork-tamale,pork tamale,dataset serving,247,10.4,22.4,12.8,3.4,0.7,0.7,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
nachos-with-cheese,nachos with cheese,dataset serving,274,3.5,27.9,17.2,2.6,1.7,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
pulled-pork-in-barbecue-sauce,pulled pork in barbecue sauce,dataset serving,418,32.8,46.7,11,3,37.8,1.7,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
baked-potato-with-cheese-sauce,baked potato with cheese sauce,dataset serving,474,14.6,46.5,28.7,0,0,0.4,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
baked-beans,baked beans,dataset serving,310,11.1,43.3,10.3,11,0,0.8,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
arroz-con-frijoles,arroz con frijoles,dataset serving,220,6.8,35.6,5.6,5,1.3,0.6,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
taco-with-beef-cheese-lettuce,taco with beef cheese lettuce,dataset serving,156,6.1,13.7,8.8,2.7,0.6,0.3,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
burrito-with-beans-cheese-beef,burrito with beans cheese beef,dataset serving,165,7.3,19.8,6.6,0,0,0.5,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
egg-mix,egg mix,dataset serving,30,2.4,0.098,2.2,0,0.091,0.012,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
falafel,falafel,dataset serving,57,2.3,5.4,3,0,0,0.081,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP1.csv,1
