id,name,serving_size,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,sodium_mg,source_dataset,source_file,source_group
dill-weed-dried,dill weed dried,dataset serving,253,20,55.8,4.4,13.6,0,0.2,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
borage,borage,dataset serving,19,1.6,2.7,0.6,0,0,0.023,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
epazote,epazote,dataset serving,0,0.059,0.094,0.06,0.051,0,0.021,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
chives-dried,chives dried,dataset serving,1,0.013,0.1,0.055,0.041,0,0.04,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
thyme-fresh,thyme fresh,dataset serving,1,0.091,0.2,0.068,0.1,0,0.017,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
butterbur,butterbur,dataset serving,4,0.1,0.5,0.2,0,0,0.053,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
wasabi-root,wasabi root,dataset serving,142,6.2,30.6,0.8,10.1,0,0.02,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
rosemary-dried,rosemary dried,dataset serving,4,0.081,0.8,0.2,0.5,0,0.048,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
ginger-root,ginger root,dataset serving,2,0.068,0.4,0.028,0.058,0.019,0,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
white-pepper,white pepper,dataset serving,7,0.2,1.6,0,0.6,0,0.075,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
cloves-ground,cloves ground,dataset serving,6,0.1,1.4,0.3,0.7,0.028,0,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
paprika,paprika,dataset serving,19,1,3.7,0.9,2.4,0.7,0.061,Kaggle: utsavdey1410/food-nutrition-dataset,FOOD-DATA-GROUP3.csv,3
