,Unnamed: 0.1,Unnamed: 0,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
count,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0,319.0
mean,159.0,159.0,251.68965517241378,6.402470219435737,3.458341692789969,3.139175548589342,2.3158087774294667,38.08805642633229,8.558774294670846,5.305852664576802,2.8116959247648903,11.500852664576803,0.16143887147335423,39.328633228840125,4.7384200626959245,0.18210658307210031,0.05072100313479624,0.012608150470219437,0.11762382445141065,1.7088025078369908,0.43982758620689655,0.14949216300940438,1.2449404388714733,0.15328526645768026,0.43833855799373045,0.041341692789968645,44.36997805642633,1.9753103448275864,1.620448275862069,40.77582445141065,2.715081504702194,121.28117241379312,148.339131661442,13.228564263322882,0.9555297805642632,104.58162695924764
std,92.23159256278007,92.23159256278007,303.5692199610204,13.741971856606247,22.61331794865649,9.05033282340317,11.619096125138384,49.62745517082913,23.491935844374183,7.802785024099539,6.241840933365427,46.427476038395994,0.37841412108656325,70.74229192391263,29.09444970312027,0.3619413169371693,0.08910265737446788,0.026591837945328652,0.21306269826714097,3.4956669065074766,1.0551740109813381,0.35273792421198796,6.0078995366395125,1.6758533722511002,1.950879309436284,0.1680520823308709,117.22531156647871,10.010682961370255,3.3519062570839395,89.6002020089846,16.580416005573092,214.85319329958753,251.0416542982338,107.42260624417315,1.6581648049385034,154.81890583420366
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,79.5,79.5,82.0,0.08349999999999999,0.005,0.0,0.0,4.699999999999999,0.0,0.1,0.0,0.0,0.015,0.8500000000000001,0.0,0.0045000000000000005,0.0,0.0,0.007,0.020999999999999998,0.0,0.001,0.0,0.0,0.0,0.0,0.45,0.0175,0.048,0.55,0.0115,0.7,8.9,0.004,0.05,16.384
50%,159.0,159.0,155.0,1.8,0.3,0.4,0.3,18.6,0.3,2.0,0.5,0.0,0.051,10.9,0.0,0.062,0.03,0.0,0.062,0.3,0.1,0.052,0.0,0.0,0.0,0.0,11.8,0.076,0.5,10.1,0.1,40.5,63.5,0.034,0.3,57.8
75%,238.5,238.5,352.5,6.800000000000001,2.25,2.45,1.65,49.75,6.6,7.0,2.6,0.0,0.0985,41.4,0.028999999999999998,0.2,0.073,0.006,0.2,2.0,0.5,0.1,0.087,0.0,0.3,0.045,36.65,0.2,1.8,34.35,0.6,136.3,164.89999999999998,0.0675,1.15,146.6
max,318.0,318.0,3190.0,161.3,396.1,99.9,188.0,390.2,291.5,52.2,76.5,604.9,3.0,568.1,362.7,3.4,1.1,0.099,2.5,40.1,11.8,4.8,60.0,28.0,30.7,2.5,889.5,104.0,40.0,921.6,249.2,1978.9,2011.5,1601.6,13.3,1533.5
