,Unnamed: 0.1,Unnamed: 0,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
count,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0,232.0
mean,115.5,115.5,156.2198275862069,7.381918103448276,2.1179741379310344,4.116780172413793,2.967189655172414,17.82316810344828,10.297344827586207,4.975905172413793,1.813288793103448,2.414728448275862,0.08446120689655172,97.8952974137931,0.19945689655172413,0.22396120689655175,1.2559568965517243,0.12025431034482759,0.2380775862068966,1.5392758620689657,0.5503879310344828,0.17822413793103448,23.224577586206895,4.580952586206896,0.6418362068965516,0.05778017241379311,41.76592672413793,4.235487068965518,0.9948577586206897,39.19481896551724,2.6762844827586205,93.2939525862069,212.50948275862066,22.132612068965514,0.7231896551724138,98.18194827586207
std,67.11681359142929,67.11681359142929,197.37052623634048,17.92249808527373,7.142897086421381,9.091446339529274,7.872434280767337,18.923324320634396,21.23249574619481,14.23097220030524,4.103510515717138,17.13532191054165,0.15393681802325862,110.21230228603437,2.954139918172921,1.6553145535564695,13.351667706130591,1.640894484705842,2.2969279263216396,4.215599536962473,1.93905665140111,0.5041494588090276,254.4385716685461,19.97377025590906,2.171189501596661,0.2265611715489876,100.31106364893103,21.665142918310686,2.0949448517946134,89.36682435118993,8.807129171249025,203.6631866939623,407.0781985522288,83.33490595710276,1.6189370486026964,278.63233718341394
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,57.75,57.75,46.0,0.1,0.022,0.018,0.011,2.1750000000000003,0.0,0.1,0.0,0.0,0.013,0.7,0.0,0.0,0.0,0.0,0.0,0.0185,0.0,0.0,0.0,0.0,0.0,0.0,0.0735,0.02675,0.03675,0.775,0.00625,0.0825,7.425,0.0,0.02475,16.773249999999997
50%,115.5,115.5,108.0,0.5,0.1,0.1,0.0935,14.0,1.2,1.0,0.2,0.0,0.049,27.15,0.0,0.04,0.0385,0.0,0.04,0.2,0.093,0.0625,0.0725,0.0,0.0,0.0,10.65,0.0865,0.2,7.55,0.1,19.5,74.1,0.032,0.1,43.367000000000004
75%,173.25,173.25,163.0,4.075,1.3,2.075,1.4,28.475,17.4,4.0,1.6,0.0,0.08625,209.5,0.0,0.092,0.078,0.0,0.1,0.725,0.4,0.2,1.9249999999999998,0.0,0.09925,0.03325,39.475,0.4,0.9,28.525,0.8250000000000001,84.0,236.175,0.071,0.525,109.1815
max,231.0,231.0,1010.0,95.5,80.0,44.7,51.3,127.0,255.0,175.0,34.0,184.5,1.4,499.5,45.0,25.0,177.6,25.0,35.0,28.2,25.4,5.0,3872.0,170.3,16.2,2.4,1208.4,283.2,17.3,763.7,91.6,1590.6,3535.0,527.3,11.1,3911.4
