,Unnamed: 0.1,Unnamed: 0,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
count,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0,551.0
mean,275.0,275.0,237.35934664246824,10.76693284936479,3.7227150635208717,4.00156442831216,2.170793103448276,15.819036297640654,2.7089074410163336,18.41785662431942,1.0981451905626136,61.59147005444646,0.5732050816696915,101.65869872958258,0.07996914700544465,0.15500181488203266,0.0656733212341198,0.041524500907441024,0.20061705989110706,3.6818275862068965,1.0888747731397457,0.30969872958257716,2.1036098003629764,0.17210163339382942,0.5475607985480943,0.42858076225045366,94.84829038112524,8.57910163339383,1.5308185117967332,34.54928856624319,3.5370018148820326,219.7355626134301,347.2344827586207,35.00921234119782,1.6529637023593469,144.6632068965517
std,159.20427129948493,159.20427129948493,199.23559762874063,12.544196452580657,5.397020953732459,5.540608256970084,3.4708195470270535,20.289319621518477,7.455666228907502,18.932403570678563,2.156680591845953,70.14323695655983,0.6361261450455352,88.50171005801361,0.1675361045240376,0.2100000909012146,0.09187969602417502,0.03747021651774669,0.2951863023418416,5.957178973400794,2.437070899986795,0.4929050065020102,5.063578226566499,1.4033890773335616,1.225903307556772,7.097027433581688,170.56866235191856,44.379144800607506,1.8836031254685452,45.29639901166373,12.595878354951035,243.5509645674768,380.14049179176703,153.0347436179959,6.519636238775351,187.04762283284686
min,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.025
25%,137.5,137.5,94.5,2.5,0.5,0.6,0.4,0.0,0.0,5.3,0.0,9.75,0.1,25.9,0.0,0.033,0.021,0.008,0.0505,0.4,0.1,0.046,0.0,0.0,0.0,0.0,9.649999999999999,0.049,0.3,6.5,0.048,50.25,90.0,0.021,0.3,39.933499999999995
50%,275.0,275.0,186.0,6.6,1.8,2.2,1.1,5.1,0.0,11.9,0.0,33.9,0.4,76.7,0.042,0.086,0.051,0.039,0.1,1.8,0.5,0.1,0.072,0.0,0.041,0.009,38.3,0.1,1.0,21.1,0.1,134.1,223.2,0.05,0.8,84.1
75%,412.5,412.5,337.0,14.4,4.8,5.15,2.6,28.7,2.2,25.65,1.5,82.65,0.9,169.05,0.0875,0.2,0.083,0.068,0.3,4.2,1.2,0.4,1.65,0.022,0.6499999999999999,0.0625,101.4,0.3,2.2,47.1,0.5,317.45000000000005,456.1,0.084,1.7,170.69150000000002
max,550.0,550.0,1578.0,87.5,43.5,48.0,40.1,128.3,70.8,86.9,17.5,352.5,6.1,535.8,2.1,1.9,1.3,0.4,3.8,57.8,31.4,4.3,42.9,29.3,14.1,166.4,1283.5,668.6,21.1,376.2,111.6,1385.1,3198.4,1679.0,147.3,1337.0
