,Unnamed: 0.1,Unnamed: 0,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
count,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0,722.0
mean,360.5,360.5,124.49030470914127,5.592144044321329,1.8295498614958448,1.8554958448753465,1.6968614958448753,15.770335180055403,3.0972036011080335,3.5201218836565102,2.077718836565097,4.893074792243768,0.2744376731301939,61.844333795013846,0.0258393351800554,0.10180609418282548,0.059674515235457075,0.020224376731301938,0.08127700831024931,0.9678462603878116,0.40662880886426594,0.17895290858725763,8.878005540166205,3.039495844875346,0.49962049861495844,0.18084487534626043,37.68382271468144,9.753962603878117,1.0150831024930749,20.922908587257616,5.474210526315789,53.19954986149585,200.9181440443213,63.61330055401662,0.37074099722991694,74.56308310249308
std,208.56773480095143,208.56773480095143,218.1288172261611,19.85147740848552,11.135123913777532,5.838940242189084,6.403071364506193,23.10636480509394,7.878036328288569,6.511790739863351,3.5051967767476855,44.449535745388026,1.8629104508013745,82.44318185680872,0.21454371594421584,0.3085255006312863,0.07068411995815209,0.03563218734893782,0.1335572965210268,1.9236057529640018,0.7548329613979018,0.3543670108261312,28.536063219924166,13.232130066747056,2.081490308153193,0.6322358961101077,84.01081652290428,34.08025741789356,2.0500658962426987,46.26826657110788,15.408958201280871,109.76804441103727,427.45575390060725,181.8333409946626,0.7750195653800548,112.99496137616426
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
25%,180.25,180.25,24.25,0.2,0.04325,0.039,0.06025,2.025,0.0,0.3,0.079,0.0,0.03,3.45,0.0,0.0,0.014,0.0,0.0,0.04725,0.02925,0.023,0.0,0.0,0.0,0.0,0.074,0.03225,0.06925,0.7,0.042,0.3,17.474999999999998,0.018,0.035,13.6
50%,360.5,360.5,68.5,0.7,0.1,0.1,0.2,8.149999999999999,0.7,1.8,0.95,0.0,0.0825,15.15,0.0,0.031,0.048,0.0,0.0415,0.2,0.1,0.0795,0.0955,0.0,0.011,0.031,8.149999999999999,0.089,0.4,5.85,0.2,14.149999999999999,63.0,0.058,0.0995,35.3
75%,540.75,540.75,123.0,4.375,0.875,1.4,1.0,19.775,3.0,3.7,2.8,0.0,0.2,109.625,0.0,0.09575,0.082,0.03575,0.096,1.0,0.5,0.2,2.6750000000000003,0.0,0.275,0.081,35.225,0.5,1.1,23.2,0.9,58.150000000000006,191.35,0.096,0.4,83.44999999999999
max,721.0,721.0,1966.0,218.0,196.2,95.9,115.8,190.1,105.0,67.9,50.2,1135.8,49.4,690.4,4.1,6.3,0.7,0.3,1.6,16.6,8.0,5.2,348.4,181.7,41.6,6.1,868.0,348.0,29.2,520.8,156.6,1309.4,4053.0,1309.5,9.1,918.8
